Latitude,Longitude
-3.4568,113.7312
-3.4561,111.9559
-3.455,115.9668
-3.4549,104.8689
-3.4549,105.6648
-3.4515,105.6643
-3.4493,114.6573
-3.4465,113.7273
-3.4464,113.7259
-3.4458,113.7294
-3.4455,111.9598
-3.4401,111.8798
-3.4394,111.8765
-3.4369,114.6596
-3.4332,111.8538
-3.4322,111.9799
-3.4321,111.8677
-3.4321,104.6841
-3.4307,111.8457
-3.4306,111.8697
-3.4298,111.851
-3.4293,116.2354
-3.4292,111.8478
-3.429,111.8563
-3.4284,111.8531
-3.4275,116.2461
-3.4273,111.8669
-3.4261,115.0511
-3.4258,111.845
-3.4255,105.0607
-3.4253,111.8418
-3.4244,111.8471
-3.4233,115.0681
-3.4229,116.2343
-3.4223,114.7818
-3.4222,105.0601
-3.4211,116.245
-3.4198,113.7509
-3.4194,105.0594
-3.418,115.0631
-3.4166,105.0554
-3.4164,114.7809
-3.4161,105.0589
-3.416,111.9696
-3.4155,116.2387
-3.4138,105.0514
-3.4136,111.9714
-3.4133,105.0549
-3.4111,111.9689
-3.4093,104.8794
-3.4091,116.2376
-3.4054,104.8823
-3.4031,111.9565
-3.4015,113.6568
-3.4014,114.9056
-3.4009,113.7629
-3.4007,105.3341
-3.4002,105.3377
-3.3993,113.807
-3.3984,105.439
-3.3979,105.3301
-3.3978,105.4426
-3.3977,112.63
-3.3974,111.8677
-3.3974,105.3336
-3.3968,105.3371
-3.3968,114.6884
-3.3965,111.8731
-3.3962,114.6873
-3.3951,114.7354
-3.3948,111.8837
-3.3945,105.3296
-3.3944,105.4421
-3.394,105.3331
-3.3939,105.4456
-3.3934,111.8617
-3.3923,105.322
-3.3919,113.817
-3.3917,105.3255
-3.3913,113.8207
-3.3912,105.329
-3.3907,113.8243
-3.3906,105.3326
-3.3903,111.8503
-3.3896,115.1592
-3.3894,111.8556
-3.3893,105.4086
-3.3889,105.3215
-3.3889,104.9012
-3.3887,105.4121
-3.3885,111.8609
-3.3884,105.325
-3.3878,105.3285
-3.3873,105.3321
-3.3859,105.2809
-3.3854,111.8495
-3.3846,111.8548
-3.382,111.8708
-3.3806,111.8488
-3.3797,111.8541
-3.3789,111.8594
-3.3786,105.2834
-3.378,111.8647
-3.3771,111.87
-3.3757,111.848
-3.3737,105.4208
-3.3731,111.864
-3.3731,105.4243
-3.3726,105.4279
-3.3722,112.626
-3.3717,112.629
-3.3712,112.632
-3.371,105.0413
-3.3705,105.0448
-3.3694,113.9188
-3.3693,105.0303
-3.3692,105.4274
-3.3692,111.8579
-3.3688,113.9224
-3.3687,105.0338
-3.3682,105.0373
-3.3677,105.0408
-3.367,112.6252
-3.3666,112.6282
-3.3665,105.0263
-3.3661,111.8465
-3.3659,105.0298
-3.3657,113.9068
-3.3654,105.0333
-3.3652,111.8518
-3.3651,113.9105
-3.3647,105.0153
-3.3645,113.9142
-3.3642,105.0188
-3.3637,105.0223
-3.3635,105.2703
-3.3634,111.8625
-3.3632,104.8689
-3.3623,104.8972
-3.3618,104.9007
-3.3614,105.0148
-3.3609,105.0183
-3.3603,105.0218
-3.3601,113.9059
-3.3585,104.9002
-3.3546,113.905
-3.3509,105.0168
-3.3485,114.3719
-3.3475,105.0163
-3.3474,114.3711
-3.3473,105.0628
-3.347,105.0198
-3.3465,105.0233
-3.3459,105.409
-3.3456,115.2362
-3.3454,104.852
-3.3453,105.4126
-3.3448,105.4161
-3.3448,114.3591
-3.3445,105.0588
-3.3441,114.3631
-3.3439,105.0623
-3.3437,105.0193
-3.3436,114.3582
-3.3434,114.367
-3.3431,105.0228
-3.343,114.3622
-3.3427,114.371
-3.3425,105.4085
-3.3423,114.3662
-3.342,105.4121
-3.3411,105.4629
-3.3409,105.0153
-3.3403,105.0188
-3.34,105.4701
-3.3398,105.0223
-3.3397,113.9254
-3.3397,105.4044
-3.3391,105.408
-3.3387,105.2305
-3.3386,105.4116
-3.3382,105.234
-3.3377,105.4624
-3.3377,105.2375
-3.3373,105.4879
-3.3371,105.241
-3.3366,105.4696
-3.3358,105.4075
-3.3354,105.2299
-3.3352,105.4111
-3.3349,105.2335
-3.3343,105.237
-3.3338,105.2405
-3.3318,105.2763
-3.3316,114.9003
-3.3315,105.233
-3.331,113.9431
-3.3304,113.9468
-3.33,112.4777
-3.3289,105.2723
-3.3288,114.8075
-3.3284,105.2758
-3.3271,105.2395
-3.3267,104.9553
-3.326,105.4716
-3.3255,113.9422
-3.3248,113.9459
-3.3234,104.9548
