Jumlah,Latitude,Longitude
1,-3.617,105.74493
1,-3.61645,105.74855
1,-3.61633,105.29951
1,-3.61582,105.72997
1,-3.61527,105.73358
1,-3.61515,105.2849
1,-3.61472,105.7372
1,-3.61461,105.28843
1,-3.61407,105.29195
1,-3.61353,105.29549
1,-3.61244,105.30254
1,-3.61189,105.73307
1,-3.61134,105.73669
1,-3.61072,105.29146
1,-3.61018,105.29498
1,-3.60964,105.29851
1,-3.60086,104.84597
1,-3.5939,104.64655
1,-3.59337,104.65001
1,-3.58836,104.61605
1,-3.58784,104.61951
1,-3.58453,104.61901
1,-3.58365,104.64716
1,-3.58313,104.65061
1,-3.58034,104.64666
1,-3.57981,104.65012
1,-3.57042,105.598
1,-3.54545,104.63081
1,-3.53984,104.69009
1,-3.53813,104.61204
1,-3.5381,104.97041
1,-3.53694,105.74762
1,-3.5355,104.62931
1,-3.53271,104.62536
1,-3.53244,105.75434
1,-3.53219,104.62881
1,-3.53166,104.63227
1,-3.5294,104.62486
1,-3.52887,104.62831
1,-3.52273,104.69106
1,-3.52238,105.65297
1,-3.51909,104.64806
1,-3.50991,105.35184
1,-3.50936,105.35538
1,-3.50882,105.35892
1,-3.50818,105.34071
1,-3.50764,105.34425
1,-3.5071,105.3478
1,-3.50684,105.41663
1,-3.50655,105.35134
1,-3.50629,105.42018
1,-3.50601,105.35488
1,-3.50547,105.35842
1,-3.50538,105.33667
1,-3.50483,105.34021
1,-3.50425,104.65644
1,-3.50382,105.23534
1,-3.50348,105.41612
1,-3.50293,105.41967
1,-3.50215,104.67028
1,-3.50163,105.23372
1,-3.50146,104.65249
1,-3.49983,104.88628
1,-3.49762,104.65544
1,-3.49547,105.22919
1,-3.49316,105.66327
1,-3.49266,105.22517
1,-3.49213,105.22869
1,-3.48868,105.66996
1,-3.4833,104.66037
1,-3.47675,105.17239
1,-3.46954,105.1749
1,-3.46669,105.65558
1,-3.46614,105.65917
1,-3.46525,104.84553
1,-3.46472,104.849
1,-3.46193,104.84502
1,-3.4586,104.84452
1,-3.45489,104.86885
1,-3.45489,105.66484
1,-3.45151,105.66433
