latitude,longitude
-3.18121,104.65098
-3.17837,104.65524
-3.17778,104.65152
-3.17719,104.64779
-3.08399,104.5007
-3.0564,104.70487
-2.92915,105.11848
-2.91504,105.11699
-2.82444,104.61369
-2.55501,104.77007
-3.38084,104.91039
-3.37994,104.90808
-3.36837,104.86912
-3.34996,105.01527
-3.3313,104.9523
-3.32743,104.94673
-3.32514,104.90177
-3.3199,104.67299
-3.31967,104.67302
-3.29612,105.02203
-3.29063,105.02625
-3.28983,105.03118
-3.28301,104.98481
-3.26785,105.04801
-3.26332,104.97221
-3.26178,104.98201
-3.25244,104.98054
-3.25167,104.98545
-3.24622,104.98962
-3.21831,104.83628
-3.18191,104.65353
-3.17807,104.64816
-3.1735,104.64748
-3.17276,104.65213
-3.12796,104.96364
-3.10925,104.96072
-3.07536,104.73466
-3.05998,104.53625
-3.05608,104.70743
-3.04502,105.0013
-3.04421,105.00624
-3.04282,105.00262
-3.04204,105.00758
-3.03461,105.03522
-3.02496,105.06438
-3.02414,105.06936
-3.02323,105.06588
-2.99948,104.41191
-2.98409,104.65765
-2.98146,105.08511
-2.92758,105.11813
-2.92609,105.12067
-2.92135,105.11992
-2.91893,105.11162
-2.9182,105.10905
-2.9181,105.11668
-2.9174,105.11411
-2.91661,105.11917
-2.9142,105.11087
-2.91346,105.10831
-2.88797,105.17738
-2.86779,104.68182
-2.86741,104.68043
-2.85379,105.17733
-2.82696,104.61272
-2.75522,105.02907
-2.61162,104.78731
-3.35639,105.01069
-3.3527,105.01573
-3.34829,105.01646
-3.34757,105.01215
-3.34576,104.89166
-3.34485,105.01958
-3.3446,105.02148
-3.34416,105.01525
-3.34388,105.01718
-3.34348,105.01093
-3.34316,105.01287
-3.34204,104.89679
-3.33975,105.01599
-3.33947,105.0179
-3.33906,105.01166
-3.33875,105.01359
-3.33837,105.00733
-3.33803,105.00928
-3.33759,104.89753
-3.33465,105.0124
-3.33434,105.01431
-3.33396,105.00806
-3.32937,104.95085
-3.3286,104.95295
-3.32816,105.00015
-3.32787,104.94859
-3.32775,105.00211
-3.32714,104.94422
-3.32374,105.00089
-3.31887,104.97053
-3.31445,104.97127
-3.29583,104.99661
-3.29513,104.99227
-3.29051,105.0197
-3.28981,105.01538
-3.2891,105.01105
-3.28717,104.97128
-3.28416,104.98071
-3.28274,104.972
-3.27973,104.98144
-3.21272,104.90708
-3.20972,105.04961
-3.17966,104.65402
-3.1789,104.64944
-3.17829,104.6525
-3.17813,104.64487
-3.17756,104.6479
-3.17751,104.79261
-3.17683,104.6433
-3.17359,104.64559
-3.17302,104.64864
-3.17229,104.64404
-3.1361,105.09531
-3.13536,105.09287
-3.06066,104.53362
-3.05519,104.7034
-2.82449,104.61242
-2.77926,104.3598
-3.40676,104.68015
-3.4043,104.8577
-3.38985,104.85939
-3.37586,104.90418
-3.37238,104.90366
-3.3711,104.70551
-3.37052,104.70928
-3.36824,104.70122
-3.36785,104.86388
-3.36602,104.89877
-3.36479,104.7007
-3.36255,104.89825
-3.35172,105.01463
-3.35041,104.70237
-3.34982,104.70612
-3.34924,104.70989
-3.34823,105.0141
-3.34763,105.01796
-3.34474,105.01357
-3.34414,105.01743
-3.34068,104.85587
-3.33835,105.00865
-3.32759,104.94001
-3.31379,104.7162
-3.30923,104.56213
-3.3074,104.82763
-3.28519,104.97323
-3.28402,104.98094
-3.28343,104.9848
-3.2584,104.98496
-3.24871,105.09471
-3.24691,105.10643
-3.23653,104.91859
-3.23336,104.98512
-3.23162,104.83566
-3.23144,104.70737
-3.23047,104.98073
-3.22698,104.98021
-3.22586,104.82698
-3.21206,105.05327
-3.20612,104.66498
-3.19687,104.74855
-3.18314,104.6538
-3.18198,104.66132
-3.18027,104.64951
-3.17969,104.65327
-3.1774,104.64524
-3.17683,104.64899
-3.17624,104.65276
-3.17396,104.64471
-3.17338,104.64848
-3.1728,104.65224
-3.17199,104.79528
-3.16935,104.65172
-3.15913,104.85578
-3.14027,105.1183
-3.11808,105.09892
-3.10884,104.95038
-3.1012,105.18484
-3.09856,105.13205
-3.08457,104.56551
-3.08113,104.56499
-3.08055,104.56873
-3.08049,105.01743
-3.07988,105.02131
-3.07945,105.01698
-3.05889,104.48157
-3.05851,104.71167
-3.05564,104.70737
-3.02613,105.06075
-3.02553,105.06466
-3.02493,105.06857
-3.01418,104.59293
-3.00204,105.07711
-2.99792,105.08049
-2.99731,105.08441
-2.99635,104.41109
-2.9938,105.08388
-2.98967,105.08727
-2.98314,104.65751
-2.98264,105.0862
-2.97899,105.2026
-2.97837,105.20656
-2.97484,105.20603
-2.96965,105.10029
-2.96674,105.09583
-2.96613,105.09975
-2.96244,105.12333
-2.96138,105.10708
-2.96077,105.111
-2.96017,104.94731
-2.95854,104.88779
-2.95808,105.10265
-2.95725,105.11047
-2.95689,105.11052
-2.95557,105.09816
-2.95516,105.09819
-2.95506,104.88727
-2.95496,105.10208
-2.95456,105.10212
-2.95164,105.09765
-2.92279,105.12145
-2.92158,105.12933
-2.91806,105.12879
-2.88898,105.17696
-2.88837,105.18092
-2.88653,105.19282
-2.87899,105.17139
-2.87546,105.17085
-2.87423,105.17878
-2.87399,104.75372
-2.86011,104.75163
-2.85846,104.69302
