Jumlah,Latitude,Longitude
1,-3.16935,104.65172
1,-3.15913,104.85578
1,-3.10884,104.95038
1,-3.08457,104.56551
1,-3.08113,104.56499
1,-3.08055,104.56873
1,-3.05851,104.71167
1,-3.05564,104.70737
1,-3.01418,104.59293
1,-2.98314,104.65751
1,-2.96017,104.94731
1,-2.95854,104.88779
1,-2.95506,104.88727
1,-2.87399,104.75372
1,-2.86011,104.75163
1,-2.85846,104.69302
1,-2.85788,104.69682
1,-2.855,104.6925
1,-2.85441,104.69629
1,-2.82806,104.61493
1,-3.18131,104.65038
1,-3.18046,104.64551
1,-3.18035,104.63352
1,-3.17876,104.6357
1,-3.1779,104.63078
1,-3.17658,104.64932
1,-3.17494,104.63953
1,-2.95495,104.94324
1,-3.18035,104.6479
1,-3.17826,104.63378
1,-3.17717,104.56584
1,-3.17658,104.56982
1,-3.17304,104.56929
1,-3.04665,105.00386
1,-3.03106,105.01322
1,-2.9572,104.94749
1,-3.13186,104.55734
1,-3.13137,104.55408
1,-3.22501,104.62521
1,-3.20847,104.82899
1,-3.16998,104.65664
1,-3.16925,104.65186
1,-3.13095,104.55576
1,-3.12713,104.55634
1,-3.11607,104.66481
1,-3.11222,104.66539
1,-3.00069,104.53933
1,-3.18706,104.6476
1,-3.17491,104.65656
1,-3.17437,104.65311
1,-3.17106,104.65363
1,-3.12879,104.55762
1,-3.12548,104.55814
1,-3.09925,104.71428
1,-3.09594,104.7148
1,-2.88584,104.87125
1,-3.21283,104.82307
1,-3.21232,104.82613
1,-3.21041,104.8245
1,-3.19249,104.64194
1,-3.192,104.64494
1,-3.19151,104.64795
1,-3.16396,104.56182
1,-3.15507,104.67912
1,-3.15458,104.6821
1,-2.8894,104.51866
1,-2.86823,104.68999
1,-2.78234,104.56747
1,-3.175,104.65739
1,-3.09192,104.93615
1,-3.06991,104.61123
1,-3.05777,105.00636
1,-3.03976,104.82574
1,-3.02447,105.02026
1,-2.92871,104.84248
1,-2.86998,104.6967
1,-2.8625,104.69556
1,-2.83815,104.72855
1,-2.83744,104.73305
1,-2.83027,104.62335
1,-2.82655,104.62278
1,-2.804,104.89535
1,-2.80395,104.89669
1,-2.78572,104.56676
1,-2.78503,104.57117
1,-2.782,104.5662
1,-2.7776,104.57005
1,-2.76704,104.8348
1,-3.18326,104.66091
1,-3.17383,104.65855
1,-3.1732,104.65473
1,-3.16756,104.65569
1,-3.00568,104.60728
1,-3.00502,104.60336
1,-2.79028,104.5686
1,-3.17625,104.65146
1,-3.1752,104.6585
1,-3.17185,104.658
1,-3.15528,104.68378
1,-3.13176,104.81661
1,-3.10048,104.93336
1,-3.09277,104.93934
1,-3.08945,104.93884
1,-3.07119,104.7431
1,-3.06785,104.7426
1,-3.02594,105.02186
1,-3.00718,104.85433
1,-3.00666,104.85782
1,-2.83542,104.73155
1,-2.83313,104.72404
1,-3.17339,104.65672
1,-3.10231,104.93365
1,-3.09631,104.93452
1,-3.09565,104.93011
1,-3.20647,104.63169
1,-3.18954,104.65778
1,-3.10652,104.93271
1,-3.10597,104.93652
1,-3.10548,104.93274
1,-3.1049,104.93654
1,-3.10233,104.93209
1,-3.10179,104.93592
1,-3.10129,104.93213
1,-3.10124,104.93974
1,-3.10072,104.93594
1,-3.10014,104.93974
1,-3.09769,104.92771
1,-3.09654,104.93534
1,-3.09596,104.93915
1,-3.07032,104.52594
1,-3.0667,104.93488
1,-3.0632,105.01557
1,-3.0596,105.01121
1,-3.05544,105.0106
1,-3.04241,105.01255
1,-3.03714,105.01946
1,-3.01795,104.5648
1,-2.91193,104.81496
1,-2.91156,104.81416
1,-3.19205,104.65601
1,-3.19143,104.65202
1,-3.11895,104.66293
1,-3.10465,104.93464
1,-3.10402,104.93048
1,-3.10094,104.93942
1,-3.10031,104.93528
1,-3.09968,104.93113
1,-3.09904,104.92699
1,-3.09596,104.93592
1,-3.09533,104.93177
1,-3.08313,104.6836
1,-3.20355,104.65097
1,-3.203,104.64745
1,-3.20244,104.64394
1,-3.19966,104.64797
1,-3.19353,104.65252
1,-3.19297,104.649
1,-3.19018,104.65303
1,-3.18963,104.64951
1,-3.18739,104.65707
1,-3.1051,104.93434
1,-3.1023,104.93842
1,-3.10174,104.93486
1,-3.09838,104.93538
1,-3.09782,104.93181
1,-3.09502,104.93588
1,-3.09446,104.93233
1,-3.20276,104.65101
1,-3.20007,104.64957
1,-3.19945,104.65341
1,-3.19711,104.65013
1,-3.19646,104.65396
1,-3.01755,104.57825
1,-3.01691,104.58207
1,-3.00719,104.58744
1,-3.00435,104.58794
1,-2.85801,104.75066
1,-2.85613,104.75093
1,-3.19568,104.65018
1,-3.19247,104.66676
1,-3.19177,104.66236
1,-3.19042,104.66454
1,-3.18876,104.66737
1,-3.18807,104.66296
1,-3.10685,104.93238
1,-3.10387,104.93723
1,-3.10021,104.93782
1,-3.09954,104.93355
1,-3.09588,104.93414
1,-2.98011,104.59027
1,-3.23293,104.83462
1,-3.2158,104.8358
1,-3.21352,104.83453
1,-3.19386,104.77076
1,-3.19354,104.66567
1,-3.19296,104.66931
1,-3.18945,104.66504
1,-3.18144,104.74244
1,-3.18086,104.74613
1,-3.17891,104.65225
1,-3.17482,104.65164
1,-3.14967,104.94395
1,-3.14907,104.94774
1,-3.12718,104.5586
1,-3.10859,104.93374
1,-3.10381,104.9369
1,-3.1032,104.94068
1,-3.09769,104.5872
1,-3.09713,104.59081
1,-3.09475,104.57938
1,-3.09419,104.58298
1,-3.09398,104.53149
1,-3.09362,104.58658
1,-3.09305,104.59018
1,-3.09182,104.57156
1,-3.09125,104.57516
1,-3.09011,104.58234
1,-3.08954,104.58595
1,-3.08898,104.58955
1,-3.08718,104.57452
1,-3.08661,104.57812
1,-3.07825,105.01069
1,-3.05726,104.89825
1,-3.04888,104.68381
1,-3.0483,104.68746
1,-3.04533,104.62733
1,-3.0387,105.0164
1,-3.03302,104.73028
1,-3.03031,105.01511
1,-3.0297,105.01896
1,-2.76224,104.87217
1,-3.18877,104.66556
1,-3.18827,104.66259
1,-3.14416,104.92366
1,-3.13916,104.92446
1,-3.13869,104.92162
1,-3.13822,104.91878
1,-3.13776,104.91593
1,-3.10154,104.72764
1,-3.10105,104.72468
1,-3.09648,104.72849
1,-3.09599,104.72554
1,-3.0955,104.72259
1,-3.09465,104.59061
1,-3.21616,104.81683
1,-3.21564,104.8203
1,-3.21232,104.8198
1,-3.19624,104.81384
1,-3.19572,104.8173
1,-3.18165,104.64174
1,-3.15506,104.92841
1,-3.15347,104.93885
1,-3.15121,104.93139
1,-3.14667,104.91648
1,-3.14509,104.92692
1,-3.14446,104.68566
1,-3.14229,104.92294
1,-3.14176,104.92641
1,-3.13949,104.91896
1,-3.11343,104.91148
1,-3.11303,104.93633
1,-3.1129,104.91496
1,-3.1101,104.91098
1,-3.10971,104.93583
1,-3.10957,104.91446
1,-3.10918,104.93932
1,-3.10252,104.93831
1,-3.09947,104.57895
1,-3.09895,104.58241
1,-3.09877,104.5612
1,-3.09842,104.58585
1,-3.09825,104.56464
1,-3.08653,104.68654
1,-3.07785,104.56512
1,-3.07785,104.92294
1,-3.07558,104.91547
1,-3.07505,104.91895
